Rank,ISO3,Country,Real Passport Index by GDP per capita,Normalized RPI
1,USA,United States,2834022.8,100.0
2,NZL,New Zealand,2831649.36,99.92
3,CAN,Canada,2816235.11,99.37
4,KOR,"Korea, Rep.",2815767.38,99.36
5,DEU,Germany,2809891.65,99.15
6,DNK,Denmark,2809891.65,99.15
7,ESP,Spain,2809891.65,99.15
8,FIN,Finland,2809891.65,99.15
9,FRA,France,2809891.65,99.15
10,ITA,Italy,2809891.65,99.15
11,SWE,Sweden,2809891.65,99.15
12,LUX,Luxembourg,2808670.78,99.11
13,AUT,Austria,2806135.16,99.02
14,BEL,Belgium,2806135.16,99.02
15,NLD,Netherlands,2806135.16,99.02
16,PRT,Portugal,2806135.16,99.02
17,GRC,Greece,2800175.5,98.8
18,CZE,Czechia,2791271.06,98.49
19,HUN,Hungary,2790176.96,98.45
20,POL,Poland,2789039.62,98.41
21,NOR,Norway,2787778.29,98.37
22,CHE,Switzerland,2785420.08,98.29
23,EST,Estonia,2783121.92,98.20
24,LTU,Lithuania,2783121.92,98.20
25,LVA,Latvia,2783121.92,98.20
26,MLT,Malta,2782625.62,98.19
27,SVK,Slovak Republic,2782224.87,98.17
28,SVN,Slovenia,2782224.87,98.17
29,LIE,Liechtenstein,2772929.16,97.84
30,CYP,Cyprus,2771239.04,97.78
31,HRV,Croatia,2770872.15,97.77
32,ISL,Iceland,2767048.24,97.64
33,ROU,Romania,2763750.79,97.52
34,BGR,Bulgaria,2762651.5,97.5
35,AUS,Australia,2754764.47,97.20
36,ARE,United Arab Emirates,2753568.75,97.16
37,GBR,United Kingdom,2733633.61,96.46
38,JPN,Japan,2731697.88,96.39
39,IRL,Ireland,2729877.12,96.33
40,SGP,Singapore,2728983.49,96.29
41,CHL,Chile,2715711.25,95.83
42,HKG,"Hong Kong SAR, China",2700389.35,95.28
43,BRA,Brazil,2699666.96,95.26
44,ARG,Argentina,2694252.73,95.07
45,BHS,"Bahamas, The",2682826.88,94.66
46,URY,Uruguay,2678810.05,94.52
47,MEX,Mexico,2667677.54,94.13
48,SMR,San Marino,2664435.05,94.02
49,MYS,Malaysia,2663864.57,94.00
50,MCO,Monaco,2658418.44,93.80
51,CRI,Costa Rica,2640520.52,93.17
52,ISR,Israel,2617162.42,92.35
53,BRB,Barbados,2605288.62,91.93
54,AND,Andorra,2600664.71,91.77
55,BRN,Brunei Darussalam,2563245.99,90.45
56,SYC,Seychelles,2553786.7,90.1
57,PRY,Paraguay,2531441.0,89.3
58,VCT,St. Vincent and the Grenadines,2529466.66,89.25
59,GRD,Grenada,2511879.5,88.6
60,PAN,Panama,2508823.63,88.53
61,MAC,"Macao SAR, China",2503277.43,88.33
62,PER,Peru,2502319.13,88.30
63,KNA,St. Kitts and Nevis,2499761.77,88.21
64,DMA,Dominica,2487214.69,87.76
65,VAT,Vatican,2479009.97,87.47
66,TTO,Trinidad and Tobago,2475458.06,87.35
67,HND,Honduras,2456941.26,86.69
68,COL,Colombia,2441850.47,86.16
69,SRB,Serbia,2423935.16,85.53
70,SLV,El Salvador,2420726.53,85.42
71,ATG,Antigua and Barbuda,2419922.15,85.39
72,LCA,St. Lucia,2419228.01,85.36
73,UKR,Ukraine,2412173.9,85.1
74,GTM,Guatemala,2408206.73,84.97
75,MUS,Mauritius,2400578.39,84.71
76,TWN,Taiwan,2367821.17,83.55
77,MKD,North Macedonia,2359562.62,83.26
78,KIR,Kiribati,2352076.95,82.99
79,SLB,Solomon Islands,2333796.8,82.3
80,TON,Tonga,2331305.36,82.26
81,WSM,Samoa,2316958.17,81.76
82,TUV,Tuvalu,2284085.05,80.60
83,MNE,Montenegro,2268425.73,80.04
84,NIC,Nicaragua,2261922.98,79.81
85,FSM,"Micronesia, Fed. Sts.",2217744.82,78.25
86,PLW,Palau,2212339.65,78.06
87,MHL,Marshall Islands,2212115.81,78.06
88,VEN,"Venezuela, RB",2206971.46,77.87
89,MDA,Moldova,2182499.78,77.01
90,ALB,Albania,2162055.8,76.3
91,BIH,Bosnia and Herzegovina,2157194.49,76.12
92,GEO,Georgia,2151853.94,75.93
93,TLS,Timor-Leste,1992611.74,70.31
94,RUS,Russian Federation,820704.47,28.96
95,ZAF,South Africa,806273.69,28.45
96,TUR,Türkiye,790249.62,27.88
97,MDV,Maldives,744659.08,26.28
98,BLZ,Belize,730922.37,25.79
99,QAT,Qatar,705183.27,24.88
100,GUY,Guyana,693388.23,24.47
101,ECU,Ecuador,693119.74,24.46
102,VUT,Vanuatu,649265.07,22.91
103,NRU,Nauru,649118.11,22.90
104,KWT,Kuwait,637403.17,22.49
105,BWA,Botswana,629366.21,22.21
106,BOL,Bolivia,618434.16,21.82
107,FJI,Fiji,593883.91,20.96
108,SUR,Suriname,578108.39,20.40
109,BHR,Bahrain,575694.26,20.31
110,LSO,Lesotho,572842.75,20.21
111,JAM,Jamaica,569506.32,20.10
112,OMN,Oman,568107.46,20.05
113,BLR,Belarus,555938.62,19.62
